residual	ratio	lwr	upr
0.0376	0.0908854239686132	1	6516748405421422592
0.0377	0.0909338027460885	1	6475891445888846848
0.0378	0.0909822072756688	1	6435290643678336000
0.0379	0.0910306375708783	1	6394944392898819072
0.038	0.0910790936465185	1	6354851097406659584
0.0381	0.0911275755151311	1	6315009171297302528
0.0382	0.0911760831907999	1	6275417038586539008
0.0383	0.0912246166874164	1	6236073133181351936
0.0384	0.0912731760188491	1	6196975898853968896
0.0385	0.0913217611982098	1	6158123788727887872
0.0386	0.0913703722402162	1	6119515266338891776
0.0387	0.0914190091578189	1	6081148804287205376
0.0388	0.09146767196508	1	6043022884729851904
0.0389	0.0915163606759382	1	6005135999992492032
0.039	0.0915650753042131	1	5967486650943869952
0.0391	0.0916138158636081	1	5930073348745609216
0.0392	0.0916625823675924	1	5892894613212822528
0.0393	0.0917113748301522	1	5855948973598150656
0.0394	0.091760193265528	1	5819234968662599680
0.0395	0.0918090376867106	1	5782751145913021440
0.0396	0.0918579081083694	1	5746496062384458752
0.0397	0.0919068045438075	1	5710468283951877120
0.0398	0.0919557270073539	1	5674666385481417728
0.0399	0.0920046755122091	1	5639088950479090688
0.04	0.0920536500727831	1	5.603734572083e+18
0.0401	0.0921026507028556	1	5568601851384419328
0.0402	0.0921516774162806	1	5533689399028305920
0.0403	0.0922007302264734	1	5498995833782878208
0.0404	0.0922498091483171	1	5464519783364167680
0.0405	0.0922989141946443	1	5430259883885547520
0.0406	0.0923480453799497	1	5396214780445190144
0.0407	0.0923972027183248	1	5362383125993489408
0.0408	0.0924463862227826	1	5328763582588890112
0.0409	0.0924955959087101	1	5295354820158600192
0.041	0.0925448317885978	1	5262155517274630144
0.0411	0.0925940938771011	1	5229164360646666240
0.0412	0.0926433821880476	1	5196380045317409792
0.0413	0.0926926967356053	1	5163801274302812160
0.0414	0.0927420375332812	1	5131426759033690112
0.0415	0.0927914045957001	1	5099255218945351680
0.0416	0.0928407979362725	1	5067285381528880128
0.0417	0.0928902175688913	1	5035515981816945664
0.0418	0.0929396635080574	1	5003945763452618752
0.0419	0.0929891357678329	1	4972573477478221824
0.042	0.0930386343614877	1	4941397882975041536
0.0421	0.0930881593036399	1	4910417746757819392
0.0422	0.0931377106081502	1	4879631843316254720
0.0423	0.0931872882893689	1	4849038955035370496
0.0424	0.0932368923605654	1	4818637871506408448
0.0425	0.0932865228367081	1	4788427390451642368
0.0426	0.0933361797309813	1	4758406316611510272
0.0427	0.093385863058358	1	4728573462800183296
0.0428	0.0934355728323776	1	4698927648578708480
0.0429	0.0934853090666323	1	4669467701363308544
0.043	0.0935350717763697	1	4640192455999642624
0.0431	0.0935848609745175	1	4611100754347826688
0.0432	0.0936346766759257	1	4582191445614627328
0.0433	0.0936845188947774	1	4553463386279334912
0.0434	0.0937343876445123	1	4524915439991214080
0.0435	0.0937842829397489	1	4496546477473954816
0.0436	0.0938342047942198	1	4468355376606902784
0.0437	0.0938841532229847	1	4440341022331934208
0.0438	0.0939341282392005	1	4412502306299967488
0.0439	0.0939841298573964	1	4384838127507219968
0.044	0.0940341580915541	1	4357347391560167936
0.0441	0.094084212956087	1	4330029011177695232
0.0442	0.0941342944651327	1	4302881905409090048
0.0443	0.0941844026328854	1	4275905000744181248
0.0444	0.0942345374732659	1	4249097229951882240
0.0445	0.0942846990010775	1	4222457532760667648
0.0446	0.0943348872297525	1	4195984855189799424
0.0447	0.0943851021740308	1	4169678150174752256
0.0448	0.0944353438477691	1	4143536377142032384
0.0449	0.0944856122658274	1	4117558501996111872
0.045	0.0945359074416257	1	4091743497208938496
0.0451	0.0945862293901173	1	4066090341609580032
0.0452	0.0946365781250548	1	4040598020484070400
0.0453	0.0946869536608013	1	4015265525333796864
0.0454	0.0947373560120924	1	3990091854270206464
0.0455	0.0947877851923248	1	3965076011384776192
0.0456	0.0948382412164837	1	3940217007254173696
0.0457	0.0948887240986123	1	3915513858519272960
0.0458	0.0949392338530818	1	3890965587971668480
0.0459	0.0949897704943497	1	3866571224716535296
0.046	0.0950403340359003	1	3.842329803607e+18
0.0461	0.0950909244934321	1	3818240365959297024
0.0462	0.0951415418800343	1	3794301958717716992
0.0463	0.0951921862110961	1	3770513635013558272
0.0464	0.0952428574997918	1	3746874453938753536
0.0465	0.0952935557611312	1	3723383480388964352
0.0466	0.095344281009525	1	3700039785053051904
0.0467	0.0953950332592454	1	3676842444805607936
0.0468	0.095445812524956	1	3653790541784821760
0.0469	0.095496618820404	1	3630883164338013184
0.047	0.0955474521598908	1	3608119406246886912
0.0471	0.095598312559068	1	3585498367109217280
0.0472	0.0956492000308979	1	3563019151957412864
0.0473	0.0957001145906647	1	3540680871863521792
0.0474	0.095751056252471	1	3518482643124924928
0.0475	0.0958020250306122	1	3496423587547704320
0.0476	0.0958530209400709	1	3474502832746433024
0.0477	0.0959040439945056	1	3452719511477086208
0.0478	0.0959550942090885	1	3431072762187271168
0.0479	0.0960061715980488	1	3409561728539214848
0.048	0.0960572761749974	1	3388185559691045888
0.0481	0.0961084079557768	1	3366943410047566336
0.0482	0.0961595669545007	1	3345834439454879232
0.0483	0.0962107531847591	1	3324857812828321792
0.0484	0.0962619666625042	1	3304012700455832576
0.0485	0.0963132074006405	1	3283298277734375424
0.0486	0.0963644754152588	1	3262713725423457792
0.0487	0.096415770719543	1	3242258229100303872
0.0488	0.0964670933288506	1	3221930979820124160
0.0489	0.0965184432571972	1	3201731173332622848
0.049	0.0965698205196367	1	3181658010845475840
0.0491	0.0966212251301338	1	3161710698095072768
0.0492	0.0966726571040416	1	3141888446230080000
0.0493	0.0967241164545045	1	3122190471023698432
0.0494	0.0967756031982683	1	3102615993491866112
0.0495	0.096827117347883	1	3083164239067731968
0.0496	0.0968786589193938	1	3063834438650145280
0.0497	0.0969302279261998	1	3044625827445874176
0.0498	0.0969818243835971	1	3025537645671543296
0.0499	0.0970334483059748	1	3006569138246062592
0.05	0.0970850997080769	1	2987719554864550912
0.0501	0.0971367786046677	1	2968988149931273728
0.0502	0.0971884850098381	1	2950374182631683072
0.0503	0.0972402189390856	1	2931876916536264704
0.0504	0.097291980406172	1	2913495619844342784
0.0505	0.0973437694264567	1	2895229565828200448
0.0506	0.0973955860140731	1	2877078031728424448
0.0507	0.0974474301840962	1	2859040299438166528
0.0508	0.0974993019510203	1	2841115655703187968
0.0509	0.0975512013294113	1	2823303391397517312
0.051	0.0976031283338714	1	2805602801847874560
0.0511	0.0976550829800468	1	2788013187096740352
0.0512	0.097707065281477	1	2770533851199450624
0.0513	0.0977590752530704	1	2753164102838793216
0.0514	0.0978111129101681	1	2735903254905163776
0.0515	0.0978631782672518	1	2718750624680913920
0.0516	0.0979152713387442	1	2701705533650905600
0.0517	0.0979673921401569	1	2684767307534225408
0.0518	0.0980195406850243	1	2667935276368492032
0.0519	0.0980717169889828	1	2651208774355613696
0.052	0.098123921067152	1	2634587139939496960
0.0521	0.0981761529336769	1	2.618069715586e+18
0.0522	0.0982284126034375	1	2601655847794207744
0.0523	0.0982807000914288	1	2585344887510292480
0.0524	0.0983330154118171	1	2569136189429465600
0.0525	0.0983853585800645	1	2553029112390092288
0.0526	0.0984377296112232	1	2537023019408108544
0.0527	0.0984901285192886	1	2521117277207457792
0.0528	0.0985425553199345	1	2505311256699243008
0.0529	0.0985950100273026	1	2489604332683344384
0.053	0.0986474926570749	1	2473995883808573952
0.0531	0.0987000032229421	1	2458485292591627776
0.0532	0.0987525417411817	1	2443071945678964224
0.0533	0.0988051082254559	1	2427755233313832960
0.0534	0.0988577026911318	1	2412534549605609472
0.0535	0.0989103251532193	1	2397409292530554368
0.0536	0.0989629756268701	1	2382378863772848128
0.0537	0.0990156541256832	1	2367442668754275328
0.0538	0.0990683606665949	1	2352600116797795328
0.0539	0.0991210952628357	1	2337850620698456576
0.054	0.0991738579303548	1	2323193596990796288
0.0541	0.0992266486836846	1	2308628466001487872
0.0542	0.099279467537515	1	2294154651583227648
0.0543	0.0993323145073201	1	2279771581198299136
0.0544	0.099385189607523	1	2265478685946780672
0.0545	0.0994380928535343	1	2251275400327722752
0.0546	0.0994910242604848	1	2237161162758399488
0.0547	0.0995439838431895	1	2223135414707394304
0.0548	0.0995969716158661	1	2209197601473766912
0.0549	0.0996499875946297	1	2195347171880792576
0.055	0.0997030317943115	1	2181583577826649600
0.0551	0.0997561042293546	1	2167906275113783296
0.0552	0.0998092049151202	1	2.154314722513e+18
0.0553	0.0998623338669142	1	2140808382535599104
0.0554	0.0999154910990561	1	2127386720885495040
0.0555	0.0999686766276028	1	2114049206688188672
0.0556	0.10002189046669	1	2100795312353679360
0.0557	0.100075132631777	1	2087624513659084544
0.0558	0.100128403138586	1	2074536289562720768
0.0559	0.10018170200082	1	2061530122414572032
0.056	0.100235029234599	1	2.048605497736e+18
0.0561	0.100288384854612	1	2035761904257116416
0.0562	0.10034176887608	1	2022998833909790208
0.0563	0.1003951813143	1	2010315781973978112
0.0564	0.100448622184068	1	1997712246692392960
0.0565	0.10050209150094	1	1985187729432171008
0.0566	0.100555589280042	1	1972741735009131776
0.0567	0.100609115535493	1	1960373770898570752
0.0568	0.100662670283581	1	1948083347968523776
0.0569	0.100716253539699	1	1935869980095386880
0.057	0.100769865317442	1	1923733184111328000
0.0571	0.100823505634035	1	1911672479952848128
0.0572	0.100877174502572	1	1899687390629206784
0.0573	0.100930871939975	1	1887777441954687744
0.0574	0.100984597960783	1	1875942162935249408
0.0575	0.101038352580479	1	1864181085387272448
0.0576	0.101092135813675	1	1852493744007047936
0.0577	0.101145947675647	1	1840879676605808128
0.0578	0.101199788182526	1	1829338423809569280
0.0579	0.101253657348841	1	1817869529000398592
0.058	0.10130755518972	1	1806472538507855360
0.0581	0.101361481720698	1	1795147001631792384
0.0582	0.101415436957282	1	1783892470324116224
0.0583	0.101469420914661	1	1.772708499416e+18
0.0584	0.101523433607787	1	1761594646551454976
0.0585	0.101577475051975	1	1750550472016602624
0.0586	0.101631545263174	1	1739575539132979712
0.0587	0.101685644255486	1	1728669413614308608
0.0588	0.101739772045733	1	1717831664182274048
0.0589	0.101793928648256	1	1707061862077135616
0.059	0.101848114077992	1	1696359581272488704
0.0591	0.101902328351584	1	1685724398547335424
0.0592	0.10195657148393	1	1675155893130570240
0.0593	0.102010843489483	1	1664653646984188416
0.0594	0.102065144384459	1	1654217244772131584
0.0595	0.102119474184551	1	1643846273635275008
0.0596	0.102173832904049	1	1633540323298118400
0.0597	0.102228220559256	1	1623298986156795136
0.0598	0.102282637165335	1	1613121857098501632
0.0599	0.102337082737961	1	1603008533612947712
0.06	0.102391557291565	1	1592958615592219648
0.0601	0.102446060842984	1	1582971705530821888
0.0602	0.102500593406393	1	1573047408392748288
0.0603	0.102555154997824	1	1563185331685965568
0.0604	0.102609745632848	1	1553385085226987008
0.0605	0.102664365326269	1	1543646281400030720
0.0606	0.102719014094879	1	1533968535011310336
0.0607	0.102773691952895	1	1524351463214022656
0.0608	0.102828398915964	1	1514794685655015936
0.0609	0.102883135000132	1	1505297824240471040
0.061	0.102937900220413	1	1495860503384771584
0.0611	0.102992694592858	1	1486482349744411392
0.0612	0.103047518132207	1	1477162992397815552
0.0613	0.103102370854427	1	1467902062710333184
0.0614	0.103157252775265	1	1458699194384986112
0.0615	0.103212163910182	1	1449554023374652416
0.0616	0.10326710427409	1	1440466187921548800
0.0617	0.103322073883312	1	1431435328624670208
0.0618	0.103377072753305	1	1422461088221599488
0.0619	0.103432100899361	1	1413543111727864576
0.062	0.103487158336801	1	1404681046383226624
0.0621	0.103542245081726	1	1395874541690647296
0.0622	0.103597361149895	1	1387123249315779072
0.0623	0.103652506557111	1	1378426823087845120
0.0624	0.103707681317508	1	1369784918956147456
0.0625	0.103762885448148	1	1361197195155779840
0.0626	0.103818118964402	1	1352663311964065024
0.0627	0.103873381881249	1	1344182931882393088
0.0628	0.103928674215123	1	1335755719379173888
0.0629	0.103983995981255	1	1327381341201448704
0.063	0.104039347196081	1	1319059466061584128
0.0631	0.104094727873609	1	1310789764803540480
0.0632	0.104150138031264	1	1302571910275252736
0.0633	0.104205577683667	1	1294405577477094912
0.0634	0.104261046847204	1	1286290443385976832
0.0635	0.104316545537081	1	1278226186934941440
0.0636	0.104372073769471	1	1270212489251186432
0.0637	0.104427631559417	1	1262249033252228096
0.0638	0.104483218923522	1	1.254335504008e+18
0.0639	0.104538835876318	1	1246471588484937984
0.064	0.10459448243472	1	1238656975644563456
0.0641	0.104650158614028	1	1230891356329317120
0.0642	0.104705864430387	1	1223174423401249536
0.0643	0.10476159989887	1	1215505871594584576
0.0644	0.10481736503607	1	1207885397661389568
0.0645	0.104873159856925	1	1200312700103564800
0.0646	0.104928984377713	1	1192787479367498752
0.0647	0.104984838613989	1	1185309437829597696
0.0648	0.105040722582042	1	1177878279702040832
0.0649	0.105096636297302	1	1170493711038469632
0.065	0.105152579776123	1	1163155439756794112
0.0651	0.105208553033295	1	1155863175554344704
0.0652	0.105264556085861	1	1148616630022236416
0.0653	0.105320588948704	1	1141415516506005760
0.0654	0.105376651638148	1	1134259550154719872
0.0655	0.10543274417043	1	1127148447968716928
0.0656	0.105488866561244	1	1120081928591224704
0.0657	0.105545018825648	1	1113059712599052800
0.0658	0.10560120098048	1	1106081522154153856
0.0659	0.105657413040952	1	1099147081246691968
0.066	0.105713655024033	1	1092256115629063552
0.0661	0.105769926944537	1	1085408352702495104
0.0662	0.105826228819156	1	1078603521594608384
0.0663	0.105882560663487	1	1071841353172197120
0.0664	0.105938922493681	1	1065121579946814976
0.0665	0.105995314325017	1	1058443936097118592
0.0666	0.106051736174689	1	1051808157500438144
0.0667	0.106108188057807	1	1045213981713953024
0.0668	0.106164669990134	1	1038661147877505664
0.0669	0.106221181988817	1	1032149396762794112
0.067	0.106277724068615	1	1025678470856923904
0.0671	0.106334296245883	1	1019248114175464704
0.0672	0.106390898537492	1	1012858072401941632
0.0673	0.106447530958171	1	1006508092737525888
0.0674	0.106504193524505	1	1000197924025042432
0.0675	0.106560886252884	1	993927316665880192
0.0676	0.106617609159493	1	987696022641323904
0.0677	0.106674362259664	1	981503795470660608
0.0678	0.106731145569544	1	975350390180516352
0.0679	0.106787959105935	1	969235563446382720
0.068	0.106844802883919	1	963159073359110912
0.0681	0.106901676920539	1	957120679546617344
0.0682	0.106958581231532	1	951120143227778688
0.0683	0.107015515832465	1	945157226950463616
0.0684	0.107072480740591	1	939231694968712192
0.0685	0.107129475971488	1	933343312832813568
0.0686	0.107186501540657	1	927491847630873600
0.0687	0.107243557464952	1	921677067944971264
0.0688	0.107300643760778	1	915898743723849984
0.0689	0.107357760443699	1	910156646447540480
0.069	0.107414907530107	1	904450548998885760
0.0691	0.107472085036277	1	898780225641962368
0.0692	0.107529292978188	1	893145452085654272
