residual	ratio	ratio_se	lwr	upr
0.0083	2.23379585147722	0.0640871058716803	0.5	4.79728008634443
0.0084	2.23388373825663	0.0640735563515178	0.5	4.79682599231734
0.0085	2.23397162503604	0.0640600077306607	0.5	4.79637193426247
0.0086	2.23405951181545	0.06404646000968	0.5	4.79591791220265
0.0087	2.23414739859486	0.0640329131891467	0.5	4.79546392616073
0.0088	2.23423528537428	0.0640193672696325	0.5	4.79500997615958
0.0089	2.23432317215369	0.0640058222517095	0.5	4.79455606222207
0.009	2.2344110589331	0.0639922781359501	0.5	4.7941021843711
0.0091	2.23449894571251	0.0639787349229273	0.5	4.7936483426296
0.0092	2.23458683249192	0.0639651926132145	0.5	4.7931945370205
0.0093	2.23467471927133	0.0639516512073856	0.5	4.79274076756676
0.0094	2.23476260605074	0.0639381107060149	0.5	4.79228703429134
